Any,Mes,Desc_Mes,Precipitacions,Temperatura mediana
1814,11,Novembre,62.0,10.3
1814,12,Desembre,1.2,9.0
1815,1,Gener,19.9,4.4
1815,2,Febrer,2.5,8.7
1815,3,Març,9.9,11.2
1815,4,Abril,111.6,10.9
1815,5,Maig,89.2,15.3
1815,6,Juny,12.4,17.3
1815,7,Juliol,12.4,20.1
1815,8,Agost,22.3,20.3
1815,9,Setembre,14.9,19.8
1815,10,Octubre,94.2,15.8
1815,11,Novembre,22.3,8.5
1815,12,Desembre,9.9,6.4
1816,1,Gener,57.0,5.9
1816,2,Febrer,2.5,7.2
1816,3,Març,12.4,9.1
1816,4,Abril,109.1,10.7
1816,5,Maig,4.9,14.6
1816,6,Juny,52.1,16.2
1816,7,Juliol,12.4,18.4
1816,8,Agost,12.4,18.8
1816,9,Setembre,7.5,17.8
1816,10,Octubre,27.4,15.2
1816,11,Novembre,24.8,9.4
1816,12,Desembre,2.5,6.8
1817,1,Gener,9.9,7.5
1817,2,Febrer,0.0,9.2
1817,3,Març,4.9,10.5
1817,4,Abril,0.0,11.1
1817,5,Maig,34.7,14.1
1817,6,Juny,34.7,18.1
1817,7,Juliol,4.9,20.3
1817,8,Agost,7.5,20.8
1817,9,Setembre,32.2,19.4
1817,10,Octubre,69.4,12.9
1817,11,Novembre,9.9,11.6
1817,12,Desembre,7.5,7.3
1818,1,Gener,17.4,7.7
1818,2,Febrer,17.4,9.3
1818,3,Març,27.4,10.7
1818,4,Abril,49.7,12.1
1818,5,Maig,69.4,14.2
1818,6,Juny,2.5,18.1
1818,7,Juliol,44.6,21.3
1818,8,Agost,7.5,21.6
1818,9,Setembre,101.6,18.4
1818,10,Octubre,69.4,15.7
1818,11,Novembre,37.3,12.7
1818,12,Desembre,62.0,7.1
1819,1,Gener,49.7,7.3
1819,2,Febrer,24.8,8.1
1819,3,Març,39.7,9.9
1819,4,Abril,24.8,13.8
1819,5,Maig,37.3,16.3
1819,6,Juny,47.1,18.9
1819,7,Juliol,2.5,21.5
1819,8,Agost,71.9,22.0
1819,9,Setembre,96.7,19.6
1819,10,Octubre,44.6,15.7
1819,11,Novembre,62.0,10.5
1819,12,Desembre,128.9,8.5
1820,1,Gener,47.1,6.6
1820,2,Febrer,24.8,8.1
1820,3,Març,69.4,7.9
1820,4,Abril,57.0,12.8
1820,5,Maig,47.1,16.1
1820,6,Juny,52.1,17.5
1820,7,Juliol,2.5,21.8
1820,8,Agost,59.4,22.7
1820,9,Setembre,161.2,17.7
1820,10,Octubre,104.2,13.7
1820,11,Novembre,44.7,9.3
1820,12,Desembre,49.7,7.7
1821,1,Gener,37.3,8.3
1821,2,Febrer,7.5,7.7
1821,3,Març,29.8,10.6
1821,4,Abril,69.4,11.5
1821,5,Maig,114.1,15.1
1821,6,Juny,12.4,17.7
1821,7,Juliol,29.8,20.2
1821,8,Agost,59.4,21.8
1821,9,Setembre,47.1,20.6
1821,10,Octubre,54.6,14.7
1821,11,Novembre,12.4,12.4
1821,12,Desembre,27.4,11.1
1822,1,Gener,2.5,6.2
1822,2,Febrer,12.4,8.7
1822,3,Març,2.5,12.3
1822,4,Abril,22.3,12.7
1822,5,Maig,29.8,17.4
1822,6,Juny,2.5,22.8
1822,7,Juliol,2.5,22.4
1822,8,Agost,64.5,21.9
1822,9,Setembre,37.3,19.4
1822,10,Octubre,34.7,15.5
1822,11,Novembre,29.8,12.5
1822,12,Desembre,39.7,7.1
1823,1,Gener,27.4,7.1
1823,2,Febrer,9.9,8.9
1823,3,Març,9.9,8.9
1823,4,Abril,12.4,11.5
1823,5,Maig,3.7,16.8
1823,6,Juny,14.9,17.3
1823,7,Juliol,34.7,19.5
1823,8,Agost,7.5,21.5
1823,9,Setembre,34.7,20.2
1823,10,Octubre,66.9,14.3
1823,11,Novembre,14.9,10.7
1823,12,Desembre,2.5,8.2
1824,1,Gener,7.5,5.8
1824,2,Febrer,19.9,8.7
1824,3,Març,4.9,9.4
1824,4,Abril,17.4,11.5
1824,5,Maig,14.9,15.3
1824,6,Juny,57.0,17.2
1824,7,Juliol,0.0,22.2
1824,8,Agost,12.4,21.6
1824,9,Setembre,91.8,18.4
1824,10,Octubre,54.6,15.3
1824,11,Novembre,12.4,12.5
1824,12,Desembre,0.0,9.8
1825,1,Gener,0.0,6.1
1825,2,Febrer,0.0,8.0
1825,3,Març,24.8,9.8
1825,4,Abril,4.9,13.8
1825,5,Maig,54.6,15.8
1825,6,Juny,7.5,19.5
1825,7,Juliol,59.4,21.9
1825,8,Agost,59.4,21.0
1825,9,Setembre,126.5,20.4
1825,10,Octubre,47.1,14.5
1825,11,Novembre,71.9,10.0
1825,12,Desembre,54.6,9.2
1826,1,Gener,89.2,5.4
1826,2,Febrer,14.9,9.1
1826,3,Març,42.2,9.8
1826,4,Abril,42.2,12.2
1826,5,Maig,69.4,13.5
1826,6,Juny,69.4,18.5
1826,7,Juliol,62.0,21.8
1826,8,Agost,24.8,23.6
1826,9,Setembre,123.9,19.8
1826,10,Octubre,34.7,16.1
1826,11,Novembre,29.8,8.5
1826,12,Desembre,109.1,8.2
1827,1,Gener,39.4,7.0
1827,2,Febrer,38.6,5.4
1827,3,Març,1.2,9.5
1827,4,Abril,24.1,11.2
1827,5,Maig,49.4,13.2
1827,6,Juny,35.0,16.5
1827,7,Juliol,2.4,24.1
1827,8,Agost,21.7,22.3
1827,9,Setembre,120.6,18.5
1827,10,Octubre,108.5,15.2
1827,11,Novembre,6.0,10.5
1827,12,Desembre,7.2,8.4
1828,1,Gener,6.0,8.9
1828,2,Febrer,24.1,8.2
1828,3,Març,21.7,10.0
1828,4,Abril,43.4,12.1
1828,5,Maig,38.6,16.1
1828,6,Juny,0.0,20.0
1828,7,Juliol,7.2,23.1
1828,8,Agost,19.3,22.7
1828,9,Setembre,77.1,20.4
1828,10,Octubre,50.6,15.4
1828,11,Novembre,35.0,12.0
1828,12,Desembre,19.3,8.4
1829,1,Gener,20.5,6.7
1829,2,Febrer,20.5,7.7
1829,3,Març,19.3,10.9
1829,4,Abril,35.0,13.1
1829,5,Maig,116.2,15.2
1829,6,Juny,35.0,18.1
1829,7,Juliol,9.6,20.8
1829,8,Agost,24.6,20.1
1829,9,Setembre,93.7,17.4
1829,10,Octubre,22.9,13.3
1829,11,Novembre,67.2,10.0
1829,12,Desembre,35.6,5.3
1830,1,Gener,8.9,4.1
1830,2,Febrer,12.0,6.5
1830,3,Març,65.1,10.4
1830,4,Abril,8.4,14.7
1830,5,Maig,65.1,16.0
1830,6,Juny,60.8,18.4
1830,7,Juliol,4.8,22.7
1830,8,Agost,51.8,21.6
1830,9,Setembre,35.0,17.8
1830,10,Octubre,21.2,15.0
1830,11,Novembre,45.8,12.4
1830,12,Desembre,18.9,7.6
1831,1,Gener,60.3,8.1
1831,2,Febrer,25.9,9.7
1831,3,Març,21.7,11.7
1831,4,Abril,50.6,12.9
1831,5,Maig,55.2,17.0
1831,6,Juny,61.5,20.6
1831,7,Juliol,15.3,22.2
1831,8,Agost,50.6,21.6
1831,9,Setembre,122.9,17.8
1831,10,Octubre,35.0,16.9
1831,11,Novembre,10.8,11.4
1831,12,Desembre,45.8,8.7
1832,1,Gener,22.9,7.7
1832,2,Febrer,74.8,8.0
1832,3,Març,74.8,9.2
1832,4,Abril,60.3,11.2
1832,5,Maig,36.1,15.7
1832,6,Juny,16.9,18.9
1832,7,Juliol,9.6,22.7
1832,8,Agost,16.9,22.7
1832,9,Setembre,33.8,19.3
1832,10,Octubre,49.4,15.8
1832,11,Novembre,65.1,11.5
1832,12,Desembre,36.1,7.6
1833,1,Gener,20.9,8.1
1833,2,Febrer,16.9,10.4
1833,3,Març,105.8,8.1
1833,4,Abril,96.5,11.7
1833,5,Maig,19.3,17.5
1833,6,Juny,33.8,20.2
1833,7,Juliol,30.2,20.1
1833,8,Agost,38.6,20.3
1833,9,Setembre,58.0,16.0
1833,10,Octubre,48.2,14.2
1833,11,Novembre,48.2,10.9
1833,12,Desembre,30.2,9.5
1834,1,Gener,2.4,10.1
1834,2,Febrer,20.5,8.6
1834,3,Març,32.5,10.4
1834,4,Abril,16.9,11.5
1834,5,Maig,30.2,16.8
1834,6,Juny,32.5,18.6
1834,7,Juliol,28.8,21.7
1834,8,Agost,77.1,21.2
1834,9,Setembre,36.1,20.8
1834,10,Octubre,83.0,15.6
1834,11,Novembre,65.1,11.4
1834,12,Desembre,14.5,7.2
1835,1,Gener,16.9,7.8
1835,2,Febrer,4.8,9.0
1835,3,Març,9.6,9.9
1835,4,Abril,16.9,11.6
1835,5,Maig,36.1,14.4
1835,6,Juny,36.1,17.2
1835,7,Juliol,24.6,22.0
1835,8,Agost,32.5,21.1
1835,9,Setembre,30.2,18.4
1835,10,Octubre,19.3,14.2
1835,11,Novembre,33.8,9.5
1835,12,Desembre,33.8,6.3
1836,1,Gener,35.0,6.7
1836,2,Febrer,35.0,7.1
1836,3,Març,30.2,10.6
1836,4,Abril,61.5,10.2
1836,5,Maig,92.1,11.8
1836,6,Juny,16.9,18.6
1836,7,Juliol,33.8,22.6
1836,8,Agost,18.1,21.6
1836,9,Setembre,36.1,17.6
1836,10,Octubre,19.3,15.6
1836,11,Novembre,12.0,10.4
1836,12,Desembre,2.4,7.3
1837,1,Gener,9.6,6.2
1837,2,Febrer,18.1,8.9
1837,3,Març,60.3,6.5
1837,4,Abril,36.1,9.5
1837,5,Maig,35.0,13.4
1837,6,Juny,44.6,20.0
1837,7,Juliol,8.4,22.3
1837,8,Agost,16.9,22.9
1837,9,Setembre,103.7,18.5
1837,10,Octubre,9.6,14.9
1837,11,Novembre,49.4,10.1
1837,12,Desembre,30.2,8.8
1838,1,Gener,74.8,7.2
1838,2,Febrer,65.1,8.4
1838,3,Març,30.2,10.3
1838,4,Abril,48.2,10.7
1838,5,Maig,33.8,15.2
1838,6,Juny,15.7,19.4
1838,7,Juliol,0.0,22.0
1838,8,Agost,16.9,21.7
1838,9,Setembre,39.8,18.3
1838,10,Octubre,59.1,14.9
1838,11,Novembre,104.9,12.9
1838,12,Desembre,108.5,7.6
1839,1,Gener,74.8,6.2
1839,2,Febrer,49.4,7.7
1839,3,Març,18.1,10.0
1839,4,Abril,37.4,11.4
1839,5,Maig,51.8,14.9
1839,6,Juny,0.0,19.5
1839,7,Juliol,21.7,21.4
1839,8,Agost,19.3,21.4
1839,9,Setembre,32.5,18.1
1839,10,Octubre,59.1,14.8
1839,11,Novembre,63.9,11.2
1839,12,Desembre,44.6,9.8
1840,1,Gener,18.1,9.0
1840,2,Febrer,135.0,7.7
1840,3,Març,35.0,6.5
1840,4,Abril,36.1,11.0
1840,5,Maig,44.6,15.7
1840,6,Juny,0.0,19.2
1840,7,Juliol,49.4,20.1
1840,8,Agost,49.4,22.1
1840,9,Setembre,36.1,18.8
1840,10,Octubre,45.8,15.2
1840,11,Novembre,16.9,11.8
1840,12,Desembre,89.2,7.5
1841,1,Gener,63.9,6.2
1841,2,Febrer,86.5,9.0
1841,3,Març,51.8,9.9
1841,4,Abril,33.8,11.8
1841,5,Maig,61.5,16.9
1841,6,Juny,90.4,18.2
1841,7,Juliol,18.1,19.6
1841,8,Agost,22.9,20.1
1841,9,Setembre,35.0,19.9
1841,10,Octubre,44.6,15.6
1841,11,Novembre,8.4,11.3
1841,12,Desembre,44.6,8.6
1842,1,Gener,49.4,5.2
1842,2,Febrer,35.0,8.4
1842,3,Març,30.2,10.6
1842,4,Abril,73.5,10.7
1842,5,Maig,49.4,15.8
1842,6,Juny,49.4,21.5
1842,7,Juliol,35.0,22.7
1842,8,Agost,59.1,21.8
1842,9,Setembre,74.8,18.3
1842,10,Octubre,74.8,13.8
1842,11,Novembre,22.7,10.8
1842,12,Desembre,91.6,9.0
1843,1,Gener,7.2,8.3
1843,2,Febrer,76.0,9.2
1843,3,Març,104.9,9.1
1843,4,Abril,69.1,12.3
1843,5,Maig,74.6,15.6
1843,6,Juny,29.9,17.6
1843,7,Juliol,16.2,19.5
1843,8,Agost,10.4,21.4
1843,9,Setembre,198.0,17.5
1843,10,Octubre,47.9,14.8
1843,11,Novembre,88.8,9.0
1843,12,Desembre,0.0,8.0
1844,1,Gener,18.3,8.0
1844,2,Febrer,28.4,7.6
1844,3,Març,40.8,9.6
1844,4,Abril,40.4,12.7
1844,5,Maig,86.1,14.2
1844,6,Juny,40.3,19.8
1844,7,Juliol,31.4,21.0
1844,8,Agost,16.0,20.9
1844,9,Setembre,213.7,19.5
1844,10,Octubre,166.3,16.5
1844,11,Novembre,19.5,11.9
1844,12,Desembre,66.8,7.1
1845,1,Gener,63.2,8.1
1845,2,Febrer,14.8,6.4
1845,3,Març,72.9,9.3
1845,4,Abril,66.6,11.5
1845,5,Maig,49.3,14.1
1845,6,Juny,41.2,17.8
1845,7,Juliol,10.5,21.5
1845,8,Agost,81.3,21.6
1845,9,Setembre,97.0,20.6
1845,10,Octubre,43.2,16.1
1845,11,Novembre,99.1,11.8
1845,12,Desembre,9.9,8.7
1846,1,Gener,10.5,9.3
1846,2,Febrer,2.3,8.3
1846,3,Març,31.2,12.2
1846,4,Abril,59.4,13.8
1846,5,Maig,86.4,15.9
1846,6,Juny,41.8,21.6
1846,7,Juliol,14.3,25.3
1846,8,Agost,53.7,24.2
1846,9,Setembre,96.2,21.6
1846,10,Octubre,147.6,16.5
1846,11,Novembre,82.7,12.7
1846,12,Desembre,24.9,6.4
1847,1,Gener,50.7,10.0
1847,2,Febrer,7.7,8.6
1847,3,Març,50.9,9.8
1847,4,Abril,59.9,12.9
1847,5,Maig,35.7,18.3
1847,6,Juny,18.5,20.1
1847,7,Juliol,0.9,22.9
1847,8,Agost,38.7,21.7
1847,9,Setembre,23.1,19.2
1847,10,Octubre,152.7,16.8
1847,11,Novembre,45.0,11.4
1847,12,Desembre,72.3,8.1
1848,1,Gener,39.8,3.4
1848,2,Febrer,34.7,10.0
1848,3,Març,35.6,9.9
1848,4,Abril,127.9,13.3
1848,5,Maig,49.2,16.7
1848,6,Juny,69.5,18.7
1848,7,Juliol,13.4,22.4
1848,8,Agost,12.7,22.2
1848,9,Setembre,120.6,19.0
1848,10,Octubre,95.8,15.9
1848,11,Novembre,24.8,8.7
1848,12,Desembre,35.2,9.6
1849,1,Gener,38.2,9.3
1849,2,Febrer,1.4,9.7
1849,3,Març,43.5,8.9
1849,4,Abril,88.5,10.0
1849,5,Maig,51.0,16.0
1849,6,Juny,17.5,21.5
1849,7,Juliol,26.5,22.9
1849,8,Agost,54.2,23.3
1849,9,Setembre,199.9,19.9
1849,10,Octubre,74.0,17.5
1849,11,Novembre,44.0,12.0
1849,12,Desembre,40.6,7.6
1850,1,Gener,22.4,7.2
1850,2,Febrer,1.5,10.8
1850,3,Març,9.7,8.6
1850,4,Abril,67.5,12.7
1850,5,Maig,65.6,13.9
1850,6,Juny,22.9,19.8
1850,7,Juliol,17.8,21.7
1850,8,Agost,38.9,21.5
1850,9,Setembre,113.6,18.1
1850,10,Octubre,55.8,14.3
1850,11,Novembre,23.4,11.4
1850,12,Desembre,2.2,8.5
1851,1,Gener,41.4,8.2
1851,2,Febrer,96.1,7.7
1851,3,Març,21.6,8.9
1851,4,Abril,77.6,12.3
1851,5,Maig,44.3,12.7
1851,6,Juny,4.2,17.9
1851,7,Juliol,49.2,20.4
1851,8,Agost,7.4,22.8
1851,9,Setembre,83.7,18.0
1851,10,Octubre,66.9,15.5
1851,11,Novembre,51.7,7.9
1851,12,Desembre,0.0,6.7
1852,1,Gener,40.5,8.6
1852,2,Febrer,2.1,6.9
1852,3,Març,16.4,9.4
1852,4,Abril,89.9,12.2
1852,5,Maig,47.6,14.8
1852,6,Juny,76.9,18.4
1852,7,Juliol,37.5,22.1
1852,8,Agost,35.0,21.4
